2018-11-19 14:24:35.3773 ERROR                   21|            CheckLoginStep |               DoStep | [172.16.1.139][1] CheckLogin failed KONICAMINOLTA.OpenAPISDK.CommonLibrary.SDKLibraryWebException: Невозможно соединиться с удаленным сервером ---> System.Net.Sockets.SocketException: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 172.16.1.139:50003
2018-11-19 14:28:45.7210 ERROR                   21|     PrintInstallationStep |  InstallPrintBrowser | [172.16.1.139][1] Print browser application installation failed, Print Browser application is not supported on the device. 
2018-11-19 14:28:46.6614 ERROR                   21|      ScanInstallationStep |   InstallScanBrowser | [172.16.1.139][1] Scan browser application installation failed, Scan Browser application is not supported on the device. 
2018-11-19 14:28:46.6770 ERROR                   21| nticationInstallationStep | nstallAuthentication | [172.16.1.139][1] Authentication application installation failed, Authentication application is not supported on the device. 
2018-11-19 14:29:19.4111 ERROR                   40|     PrintInstallationStep |  InstallPrintBrowser | [172.16.1.139][1] Print browser application installation failed, Print Browser application is not supported on the device. 
2018-11-19 14:29:20.7324 ERROR                   40|      ScanInstallationStep |   InstallScanBrowser | [172.16.1.139][1] Scan browser application installation failed, Scan Browser application is not supported on the device. 
2018-11-19 14:33:34.4756 ERROR                   40|     PrintInstallationStep |  InstallPrintBrowser | [172.16.1.139][1] Print browser application installation failed, Print Browser application is not supported on the device. 
2018-11-19 14:33:35.2285 ERROR                   40|      ScanInstallationStep |   InstallScanBrowser | [172.16.1.139][1] Scan browser application installation failed, Scan Browser application is not supported on the device. 
2018-11-19 14:42:44.4705 ERROR                   23|          AuthenticateStep | AuthenticationFailed | [172.16.1.139][1] User authentication failed. 
2018-11-19 14:42:44.5593 ERROR                   23|      AuthenticationCommon |         Authenticate | [172.16.1.139][1] User authentication failed. 
2018-11-19 14:43:02.5587 ERROR                   20|          AuthenticateStep | AuthenticationFailed | [172.16.1.139][1] User authentication failed. 
2018-11-19 14:43:02.6007 ERROR                   20|      AuthenticationCommon |         Authenticate | [172.16.1.139][1] User authentication failed. 
2018-11-19 14:46:07.0779 ERROR                   11|            CheckLoginStep |               DoStep | [172.16.1.134][2] Could not login to device due to [14: fail login]. 
2018-11-19 15:34:11.8251 ERROR                   36|              RegisterStep |                 Step | [172.16.1.134][2] Card registration failed. 
2018-11-19 15:34:12.0038 ERROR                   36|      AuthenticationCommon |             Register | [172.16.1.134][2] Registration failed. 
2018-11-19 15:37:17.6845 ERROR                   35|           LanguageManager |    SetThreadLanguage | [2] Session language not found in cache, English set. 
2018-11-19 15:44:43.9867 ERROR                   58|           LanguageManager |    SetThreadLanguage | [2] Session language not found in cache, English set. 
2018-11-19 15:47:47.3818 ERROR                    5|        AbstractInvocation |              Proceed | Box disconnected 
2018-11-20 12:23:39.1334 ERROR                   40|           ExceptionLogger |             LogAsync | An unhandled exception in YSoft SQTA occurred. System.Net.Http.HttpRequestException: Error while copying content to a stream. ---> System.IO.IOException ---> System.Net.HttpListenerException: Указанное сетевое имя более недоступно
2018-11-20 12:25:55.6217 ERROR                   33|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 12:26:02.9117 ERROR                   37|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 12:26:27.9918 ERROR                   45|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 12:26:35.3013 ERROR                   18|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 12:26:37.1139 ERROR                   18|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 12:26:43.9732 ERROR                   18|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 12:26:48.5562 ERROR                   18|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 12:26:49.8482 ERROR                   13|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 12:26:50.5728 ERROR                   40|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 12:26:51.4781 ERROR                   40|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 12:27:01.8258 ERROR                   40|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 12:27:03.8677 ERROR                   40|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 12:29:19.6920 ERROR                   18|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 12:29:46.0455 ERROR                   18|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 12:29:52.4107 ERROR                   35|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 12:29:57.9859 ERROR                   35|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 12:30:03.8951 ERROR                   35|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 12:43:10.3189 ERROR                   49|           ExceptionLogger |             LogAsync | An unhandled exception in YSoft SQTA occurred. System.Net.Http.HttpRequestException: Error while copying content to a stream. ---> System.IO.IOException ---> System.Net.HttpListenerException: Указанное сетевое имя более недоступно
2018-11-20 12:44:35.6920 ERROR                   50|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 12:45:29.2281 ERROR                   56|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 12:45:33.8355 ERROR                   56|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 12:45:37.9742 ERROR                   56|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 12:45:40.9263 ERROR                   56|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 12:46:50.8326 ERROR                   53|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 12:46:58.5045 ERROR                   50|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 14:05:48.9898 ERROR                   42|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 15:08:55.8824 ERROR                   33|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 15:09:20.8463 ERROR                   46|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 15:09:27.0651 ERROR                   52|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 15:09:28.6285 ERROR                   52|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 15:09:31.7399 ERROR                   52|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 15:09:33.4596 ERROR                   52|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 15:09:38.0035 ERROR                   52|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 15:10:08.6022 ERROR                   52|           ExceptionLogger |             LogAsync | An unhandled exception in YSoft SQTA occurred. System.Net.Http.HttpRequestException: Error while copying content to a stream. ---> System.IO.IOException ---> System.Net.HttpListenerException: Указанное сетевое имя более недоступно
2018-11-20 15:10:24.4273 ERROR                   52|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 15:10:30.8346 ERROR                   52|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 15:10:34.3932 ERROR                   56|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 15:10:35.6627 ERROR                   52|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 15:10:36.4127 ERROR                   53|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 15:28:36.8795 ERROR                   43|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 16:42:51.9088 ERROR                   66|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 16:42:59.6275 ERROR                   66|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 16:43:42.3619 ERROR                   67|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 16:43:48.8512 ERROR                   59|    ThumbTopPositionHelper |              Execute | Current page not defined. 
2018-11-20 16:43:52.4410 ERROR                   53|    ThumbTopPositionHelper |              Execute | Current page not defined. 
